,country,left,right,middle,R0
0,Afghanistan,0.3813204193605081,0.3818616803186314,0.3815910498395697,3.815910498395697
1,Albania,0.6804016564892804,0.6806119545473197,0.6805068055183001,6.805068055183001
2,Algeria,0.6066882276997312,0.6070302601567551,0.6068592439282432,6.0685924392824315
3,Andorra,0.7433923819009713,0.7436482789360144,0.7435203304184929,7.435203304184928
4,Angola,0.3923278641177709,0.39286559750274397,0.3925967308102575,3.9259673081025745
5,Anguilla,0.00654367087821389,0.008007443555874339,0.0072755572170441155,0.07275557217044115
6,Antigua And Barbuda,0.3291824483253638,0.3297998748123501,0.3294911615688569,3.2949116156885685
7,Argentina,0.9425533510454484,0.9427298387580464,0.9426415949017474,9.426415949017473
8,Armenia,0.7949157872018667,0.7951530969995202,0.7950344421006934,7.950344421006934
9,Aruba,0.4747201354366393,0.4750422078380282,0.4748811716373337,4.7488117163733365
10,Australia,0.34742924367464995,0.34770699208798433,0.34756811788131714,3.475681178813171
11,Austria,0.9999999996433512,0.9999999996677262,0.9999999996555388,9.999999996555387
12,Azerbaijan,0.5557039146844119,0.5560805873464433,0.5558922510154276,5.558922510154276
13,Bahamas,0.4708569284051789,0.4713063450851413,0.4710816367451601,4.710816367451601
14,Bahrain,0.5474892459725841,0.5476621204465489,0.5475756832095665,5.475756832095665
15,Bangladesh,0.3764360975698644,0.3767578616445438,0.3765969796072041,3.765969796072041
16,Barbados,0.4748616140796171,0.4751824165011714,0.4750220152903943,4.7502201529039425
17,Belarus,0.5933042177148744,0.593656316490239,0.5934802671025567,5.934802671025567
18,Belgium,0.5,0.5,0.5,5.0
19,Belize,0.3648247469515731,0.3653992583061779,0.3651120026288755,3.651120026288755
20,Benin,0.42227771633322575,0.4227871699066197,0.4225324431199227,4.225324431199227
21,Bermuda,0.4229937964094345,0.42335058559915617,0.4231721910042954,4.231721910042953
22,Bhutan,0.07557010511466494,0.08017551047987595,0.07787280779727045,0.7787280779727044
23,Bolivia,0.5596410134693387,0.5599045333422142,0.5597727734057765,5.597727734057765
24,Bosnia And Herzegovina,0.6914893934155506,0.6916906016753577,0.6915899975454541,6.915899975454541
25,Botswana,0.2436790047918895,0.2441077374130729,0.2438933711024812,2.438933711024812
