news_title,news_content,news_source,news_pubtime,news_url
"IOC BACH SAYS \""NO PLAN B\"" FOR TOKYO OLYMPICS- KYODO","...IOC BACH SAYS \""NO PLAN B\"" FOR TOKYO OLYMPICS- KYODO\n...",reuters,2021-1-21,https://www.reuters.com/article/idUSMT1ALTL4N2JW2T12
Sport climbing-Five to watch at the Tokyo Olympics,...(Reuters) -     Five climbers to watch out for at the Tokyo Olympics... to step out of his comfort zone in speed to grab the gold medal at Tokyo...,reuters,2021-6-23,https://www.reuters.com/article/idUSKCN2E005C
ISRAEL TO VACCINATE ALL ATHLETES FOR TOKYO OLYMPICS BY MAY - NATIONAL OLYMPIC COMMITTEE STATEMENT,...ISRAEL TO VACCINATE ALL ATHLETES FOR TOKYO OLYMPICS BY MAY - NATIONAL OLYMPIC COMMITTEE STATEMENT\n...,reuters,2021-1-27,https://www.reuters.com/article/idUSMT1ALTL8N2K22Z91
Gymnasts gather for friendly Tokyo meet in Olympics rehearsal,"...,\nare taking part in the first international event at a Tokyo\nOlympic... during the Olympics, which will bring more than 11,000\nathletes to Tokyo...",reuters,2020-11-07,https://www.reuters.com/article/idUSL4N2HT05R
Olympics-Gymnastics meet a test of Tokyo's readiness,"... at a Tokyo Olympics venue since the Games were postponed in March due...By Elaine Lies and Jack Tarrant\nTOKYO, Nov 5 (Reuters) - Tokyo's...",reuters,2020-11-04,https://www.reuters.com/article/idUSL4N2HR0LC
TOKYO GOVERNOR KOIKE:  BEST CASE SCENARIO FOR OLYMPICS IS WITH FULL VENUES OF SPECTATORS,...TOKYO GOVERNOR KOIKE:  BEST CASE SCENARIO FOR OLYMPICS IS WITH FULL VENUES OF SPECTATORS\n...,reuters,2020-11-24,https://www.reuters.com/article/idUSMT1ALTL4N2IA07J4
Olympics-Tokyo 2020 main organising bodies to discuss spectators on Saturday-Kyodo,"...TOKYO, March 18 (Reuters) - Organisers for the Tokyo 2020 Olympics..., including local government officials and the International Olympic...",reuters,2021-3-18,https://www.reuters.com/article/idUSL4N2LG34A
Olympics: Gymnastics meet a test of Tokyo's readiness,...By Elaine Lies and Jack Tarrant\nTOKYO (Reuters) - Tokyo's ability... to cope with the COVID-19 pandemic and stage next year's Olympic Games...,reuters,2020-11-05,https://www.reuters.com/article/idUSKBN27L080
Japan Olympics minister resigns from cabinet as candidate for Tokyo 2020 chief,"...TOKYO (Reuters) -     Japan Olympics minister Seiko Hashimoto... as head of the Tokyo 2020 organising committee, and told reporters...",reuters,2021-2-18,https://www.reuters.com/article/idUSKBN2AI0IU
Olympics-Tokyo organisers to meet Saturday; debate on foreign spectators expected,"...TOKYO, March 19 (Reuters) - Organisers of the Tokyo Olympics... p.m. (0900 GMT), will be held by the Tokyo 2020 organising committee...",reuters,2021-3-19,https://www.reuters.com/article/idUST9N2L000A
Olympics-Gymnastics meet a test of Tokyo's readiness,"... at a Tokyo Olympics venue since the Games were postponed in March due...By Elaine Lies and Jack Tarrant\nTOKYO, Nov 5 (Reuters) - Tokyo's...",reuters,2020-11-04,https://www.reuters.com/article/idUSL4N2HR0LC
Tokyo 2020 official says 100% certain Olympics to be held -report,"...TOKYO, Feb 4 (Reuters) - A senior official for the Tokyo 2020... Olympics, John Coates, said the chance of the Games taking place was 100...",reuters,2021-2-04,https://www.reuters.com/article/idUSL4N2KA2XE
Japan Olympics minister resigns from cabinet as candidate for Tokyo 2020 chief,"...TOKYO (Reuters) -     Japan Olympics minister Seiko Hashimoto... as head of the Tokyo 2020 organising committee, and told reporters...",reuters,2021-2-18,https://www.reuters.com/article/idUSKBN2AI0J1
Olympics-Tokyo 2020 main organising bodies to discuss spectators on Saturday-Kyodo,"...TOKYO, March 18 (Reuters) - Organisers for the Tokyo 2020 Olympics..., including local government officials and the International Olympic...",reuters,2021-3-18,https://www.reuters.com/article/idUSL4N2LG34A
Tokyo Olympic organisers say fully focused on hosting Games this summer,...TOKYO (Reuters) -     Organisers of the Tokyo Olympics said all event...-delayed Tokyo Olympics will be cancelled this year because...,reuters,2021-1-21,https://www.reuters.com/article/idUSKBN29R0B5
Tokyo 2020 says social distance was maintained during Olympic torch relay,...TOKYO (Reuters) -     Tokyo 2020 Organising Committee CEO Toshiro... Muto said on Thursday that organisers were able to hold the Olympic torch...,reuters,2021-3-25,https://www.reuters.com/article/idUSKBN2BH1J5
Olympics-Tokyo organisers to meet Saturday; debate on foreign spectators expected,"...TOKYO, March 19 (Reuters) - Organisers of the Tokyo Olympics... p.m. (0900 GMT), will be held by the Tokyo 2020 organising committee...",reuters,2021-3-19,https://www.reuters.com/article/idUST9N2L000A
"Olympics-Tokyo 2020 president considering cap of 10,000 spectators -paper","... adopting a cap of 10,000 spectators for Tokyo Olympic stadiums, the Sankei...TOKYO, June 18 (Reuters) - The president of Tokyo 2020 organising...",reuters,2021-6-17,https://www.reuters.com/article/idUSL3N2NZ4JR
Japan Olympics minister resigns from cabinet as candidate for Tokyo 2020 chief,"...TOKYO (Reuters) -     Japan Olympics minister Seiko Hashimoto... as head of the Tokyo 2020 organising committee, and told reporters...",reuters,2021-2-18,https://www.reuters.com/article/idUSKBN2AI0IU
"Olympics-Athletes will be subject to GPS monitoring, says Tokyo 2020 CEO","...TOKYO, June 9 (Reuters) - Olympic athletes will be subject to GPS... monitoring as will members of the media, Tokyo 2020 Organising Committee...",reuters,2021-6-09,https://www.reuters.com/article/idUSL3N2NR354
IOC head Bach pledges to ease Olympic burden on Tokyo's medical system,...TOKYO (Reuters) -     International Olympic Committee (IOC) President... systems during the Tokyo 2020 Olympic Games during opening remarks...,reuters,2021-5-19,https://www.reuters.com/article/idUSKCN2D00HR
Olympic organisers say safety first priority of Tokyo Games,...TOKYO (Reuters) -     Olympic organisers told reporters on Wednesday... Summer Games  during a global pandemic. \nThe Tokyo Olympic organising...,reuters,2021-2-03,https://www.reuters.com/article/idUSKBN2A31BF
Tokyo Olympic organisers say fully focused on hosting Games this summer,"...TOKYO, Jan 22 (Reuters) - Organisers of the Tokyo Olympics said all...-delayed Tokyo Olympics will be cancelled this year because...",reuters,2021-1-21,https://www.reuters.com/article/idUST9N2IO01W
Olympic organisers say safety first priority of Tokyo Games,"...TOKYO, Feb 3 (Reuters) - Olympic organisers told reporters... Summer Games  during a global pandemic.\nThe Tokyo Olympic organising...",reuters,2021-2-03,https://www.reuters.com/article/idUST9N2FH00K
Olympic organisers say safety first priority of Tokyo Games,...TOKYO (Reuters) -     Olympic organisers told reporters on Wednesday... Summer Games  during a global pandemic. \nThe Tokyo Olympic organising...,reuters,2021-2-03,https://www.reuters.com/article/idUSKBN2A31BX
Tokyo Olympic organizers say fully focused on hosting Games this summer,...TOKYO (Reuters) -     Organisers of the Tokyo Olympics said all event...-delayed Tokyo Olympics will be cancelled this year because...,reuters,2021-1-21,https://www.reuters.com/article/idUSKBN29R0A1
Tokyo 2020 says social distance was maintained during Olympic torch relay,"....\nThe Tokyo 2020 Olympics will be the first Olympic and Paralympic Games...TOKYO, March 25 (Reuters) - Tokyo 2020 Organising Committee CEO...",reuters,2021-3-25,https://www.reuters.com/article/idUSL4N2LN2TC
"Japan PM says determined to realise Olympics, will cooperate with Tokyo and IOC",... on Friday that he was determined to realise the Tokyo Olympics.\nHis...TOKYO (Reuters) -     Japan's Prime Minister Yoshihide Suga said...,reuters,2021-1-21,https://www.reuters.com/article/idUSKBN29R07J
Tokyo Gov Koike says no talk of cancelling or delaying Olympics,"... concluded the Tokyo Olympics would have to be cancelled because...TOKYO, Jan 22 (Reuters) - Tokyo Governor Yuriko Koike said on Friday...",reuters,2021-1-22,https://www.reuters.com/article/idUST9N2IO01Z
G7 to support Japan's efforts to stage Tokyo 2020 Olympics -Kyodo,"... Japan's efforts to stage the Tokyo 2020 Olympic Games this summer, Kyodo....\nThe Tokyo 2020 Olympic Games were postponed last year due to the coronavirus...",reuters,2021-6-02,https://www.reuters.com/article/idUSKCN2DE0WE
Olympics-Domestic sponsors agree to extend contracts for delayed Tokyo games,"... to extend their contracts for the delayed games.\nThe Tokyo Olympics...TOKYO, Dec 24 (Reuters) - Tokyo 2020 organisers said on Thursday...",reuters,2020-12-24,https://www.reuters.com/article/idUSL4N2J4107
Tokyo 2020 President Hashimoto hopes for Olympic support from G7 countries,"... set up a new vaccination centre for Olympics-related staff in Tokyo....\nThe Tokyo 2020 Olympic Games, which was postponed once due to the global...",reuters,2021-6-11,https://www.reuters.com/article/idUST9N2NI014
"Tokyo Olympic organiser to hold meeting with IOC, others on March 22-Kyodo","...TOKYO, March 16 (Reuters) - The Tokyo 2020 Olympic Games Organising... Olympic Committee, Japan's government and Tokyo city to discuss...",reuters,2021-3-16,https://www.reuters.com/article/idUSL4N2LE34R
"No Olympics if no athletes come to Japan, says Tokyo 2020 president","...TOKYO, June 4 (Reuters) - The Tokyo 2020 Olympic Games cannot happen... to cancel the Games.\nThe Tokyo 2020 Olympic Games were postponed last...",reuters,2021-6-04,https://www.reuters.com/article/idUST9N2N5026
Japan Olympics Minister Hashimoto to accept role as head of Tokyo 2020 -Kyodo,"...TOKYO, Feb 18 (Reuters) - Japanese Olympics Minister Seiko\nHashimoto... intends to accept the job of head of Tokyo 2020, the\norganising...",reuters,2021-2-17,https://www.reuters.com/article/idUST9N28J06R
"Olympics-Athletes will be subject to GPS monitoring, says Tokyo 2020 CEO","...TOKYO, June 9 (Reuters) - Olympic athletes will be subject to GPS... monitoring as will members of the media, Tokyo 2020 Organising Committee...",reuters,2021-6-09,https://www.reuters.com/article/idUSL3N2NR354
Olympics-Tokyo 2020 president says will hold Games regardless of pandemic situation,"...TOKYO, Feb 2 (Reuters) - Tokyo 2020 President Yoshiro Mori said... on Tuesday that Japan would hold the Summer Olympics regardless...",reuters,2021-2-02,https://www.reuters.com/article/idUST9N2AR04Z
G7 to support Japan's efforts to stage Tokyo 2020 Olympics -Kyodo,"... Japan's efforts to stage the Tokyo 2020 Olympic Games this summer, Kyodo....\nThe Tokyo 2020 Olympic Games were postponed last year due to the coronavirus...",reuters,2021-6-02,https://www.reuters.com/article/idUSKCN2DE0WE
IOC head Bach pledges to ease Olympic burden on Tokyo's medical system,...TOKYO (Reuters) -     International Olympic Committee (IOC) President... systems during the Tokyo 2020 Olympic Games during opening remarks...,reuters,2021-5-19,https://www.reuters.com/article/idUSKCN2D00HR
"Olympics-Bach says \""no Plan B\"" for Tokyo Games: Kyodo","... in Tokyo will not open on the 23rd of July in the Olympic stadium...TOKYO (Reuters) -     There is \""no Plan B\"" for the Tokyo Games, says...",reuters,2021-1-21,https://www.reuters.com/article/idUSKBN29Q1CR
"UPDATE 1-Olympics-Bach says \""no Plan B\"" for Tokyo Games - Kyodo","...\"" for the Tokyo Games, says International Olympic Committee President... to believe that the Olympic Games in Tokyo will not open on the 23rd of July...",reuters,2021-1-21,https://www.reuters.com/article/idUSL1N2JW0XR
Olympics-Barcelona to host artistic swimming qualifier moved from Tokyo,"...(Reuters) -     Barcelona will host an Olympic artistic swimming... qualifier in June after it was unable to be held in Tokyo, world body FINA...",reuters,2021-4-23,https://www.reuters.com/article/idUSKBN2CA14A
"Up to 80% of Tokyo Olympics media will be vaccinated, say organisers","...TOKYO, June 15 (Reuters) - The International Olympic Committee (IOC...) expects 70%-80% of the news media covering the Olympics in Tokyo...",reuters,2021-6-15,https://www.reuters.com/article/idUST9N2HL00A
"Olympics - British athletes, staff to be vaccinated before Tokyo Games","... they travel to Tokyo, the British Olympic Association (BOA) said on Friday... will be fully vaccinated ahead of the Tokyo 2020 Olympic and Paralympic...",reuters,2021-5-21,https://www.reuters.com/article/idUSKCN2D22HG
Olympics-IOC says Tokyo 2020 chief Mori comments 'absolutely inappropriate',"... on Tuesday that comments about women made by Tokyo 2020 Olympic Games...BERLIN, Feb 9 (Reuters) - The International Olympic Committee said...",reuters,2021-2-09,https://www.reuters.com/article/idUSL8N2KF2V2
UK PM Johnson offers Tokyo Olympics some big power support,"... on Friday gave the Tokyo Olympics a show of public support at a meeting... can take place safely.\nThe Tokyo 2020 Olympic Games, which were...",reuters,2021-6-11,https://www.reuters.com/article/idUSKCN2DN1BR
IOC head Bach pledges to ease Olympic burden on Tokyo's medical system,"...TOKYO, May 19 (Reuters) - International Olympic Committee\n(IOC... medical systems during the Tokyo 2020 Olympic\nGames during opening remarks...",reuters,2021-5-19,https://www.reuters.com/article/idUST9N2MU027
"Japan PM says determined to realise Olympics, will cooperate with Tokyo and IOC",... on Friday that he was determined to realise the Tokyo Olympics.\nHis...TOKYO (Reuters) -     Japan's Prime Minister Yoshihide Suga said...,reuters,2021-1-21,https://www.reuters.com/article/idUSKBN29R07J
Tokyo Gov Koike says no talk of cancelling or delaying Olympics,"... concluded the Tokyo Olympics would have to be cancelled because...TOKYO, Jan 22 (Reuters) - Tokyo Governor Yuriko Koike said on Friday...",reuters,2021-1-22,https://www.reuters.com/article/idUST9N2IO01Z
Olympics-Toyota president disappointed by Tokyo 2020 chief Mori's comments,... joined other high-profile Tokyo Olympics sponsors on Wednesday in publicly... sexist remarks.\nTokyo 2020 Olympics President Yoshiro Mori has incited...,reuters,2021-2-10,https://www.reuters.com/article/idUSKBN2AA0U3
'Wrong and ridiculous'-Japan Olympics head slams Tokyo cancellation report,"...TOKYO, Jan 22 (Reuters) - The head of Japan's national Olympic... privately concluded it will have to cancel the Tokyo 2020 Olympics...",reuters,2021-1-22,https://www.reuters.com/article/idUSL1N2JX0BT
Olympics-French Committee confident French athletes will be vaccinated for Tokyo,"... before this year's Tokyo Olympics, its president said on Wednesday...PARIS, April 14 (Reuters) - The French Olympic committee (CNOSF...",reuters,2021-4-14,https://www.reuters.com/article/idUSL1N2M71K5
"Tokyo Olympic organiser to hold meeting with IOC, others on March 22: Kyodo",...TOKYO (Reuters) -     The Tokyo 2020 Olympic Games Organising... Committee will likely meet with representatives of the International Olympic...,reuters,2021-3-16,https://www.reuters.com/article/idUSKBN2B81N0
"No Olympics if no athletes come to Japan, says Tokyo 2020 president",...TOKYO (Reuters) -     The Tokyo 2020 Olympic Games cannot happen... to cancel the Games.\nThe Tokyo 2020 Olympic Games were postponed last year...,reuters,2021-6-04,https://www.reuters.com/article/idUSKCN2DG0UO
Olympics-Tokyo 2020 says it is postponing water polo test event,"...TOKYO, April 6 (Reuters) - Tokyo Olympic organisers said on Tuesday... place, Tokyo 2020 said in a statement. (Reporting by Chris Gallagher; Editing by Andrew Heavens)\n...",reuters,2021-4-06,https://www.reuters.com/article/idUST9N2J500S
Japan privately concludes Tokyo Olympics should be cancelled due to coronavirus -The Times,"... the Tokyo Olympics will have to be cancelled because...TOKYO, Jan 22 (Reuters) - Japan's government has privately concluded...",reuters,2021-1-21,https://www.reuters.com/article/idUSL4N2JW4OZ
UPDATE 1-Japan's vaccination chief says Tokyo Olympics not in his planning,"...(Adds comment on elderly and Olympics in final paragraphs)\nTOKYO, Feb... said on Wednesday that the Summer Olympics in Tokyo were not part...",reuters,2021-2-24,https://www.reuters.com/article/idUSL1N2KU10S
Olympics-March's artistic swimming Olympic qualifying event in Tokyo postponed until May,"...TOKYO, Jan 28 (Reuters) - The artistic swimming Olympics... for this summer's Tokyo Olympics, will now take place May 1-4. (Reporting...",reuters,2021-1-27,https://www.reuters.com/article/idUSL4N2K30J4
IOC's Coates says Olympics will happen regardless of Tokyo state of emergency,"...TOKYO, May 21 (Reuters) - The Olympic Games will still be held even... if the host city Tokyo remains under its COVID-19 state of emergency...",reuters,2021-5-21,https://www.reuters.com/article/idUST9N2N5002
Virus experts urge scaling down size of Tokyo 2020 Olympics,"...TOKYO, June 18 (Reuters) - A report on how to hold the Olympics... the size of the Tokyo 2020 Olympics as much as possible.\nThe report...",reuters,2021-6-18,https://www.reuters.com/article/idUST9N28909I
Olympics-IOC confident of successful Tokyo Games despite public opposition,"... and was confident the Tokyo Olympics would be a \""historic\"" event, despite wide public...May 12 (Reuters) - The International Olympic Committee on Wednesday...",reuters,2021-5-12,https://www.reuters.com/article/idUSL8N2MZ6DH
Olympics: India sets 'double digit' medal goal in Tokyo,"... of improving its Olympic medal tally to a \""double digit\"" in Tokyo... of Olympic medals must increase.\n\""We need to set a national record in Tokyo...",reuters,2021-4-14,https://www.reuters.com/article/idUSKBN2C11RY
"Olympics-British athletes, staff to be vaccinated before Tokyo Games","... they travel to Tokyo, the British Olympic Association (BOA) said... staff will be fully vaccinated ahead of the Tokyo 2020 Olympic...",reuters,2021-5-21,https://www.reuters.com/article/idUSL3N2N83US
Olympics-Murray named in Britain's tennis squad for Tokyo Games,"... been named in Britain's tennis team for the 2020 Olympic Games in Tokyo...LONDON, June 24 (Reuters) - Twice Olympic champion Andy Murray has...",reuters,2021-6-24,https://www.reuters.com/article/idUSL3N2O62DS
"Olympic media will be closely monitored during Games, says Tokyo 2020 President","...TOKYO, June 8 (Reuters) - Media covering the Tokyo 2020 Olympic Games... areas such as hotels and sports venues, Tokyo 2020 President Hashimoto...",reuters,2021-6-08,https://www.reuters.com/article/idUST9N2NI00A
"Olympic media will be closely monitored during Games, says Tokyo 2020 President","...TOKYO (Reuters) -     Media covering the Tokyo 2020 Olympic Games... areas such as hotels and sports venues, Tokyo 2020 President Hashimoto...",reuters,2021-6-08,https://www.reuters.com/article/idUSKCN2DK0I1
Olympics-Cycling world champion Alaphilippe to skip Tokyo Games,"..., not to make myself available for selection for the upcoming Tokyo Olympics... Alaphilippe will skip the Olympic road race for personal reasons, he said...",reuters,2021-5-14,https://www.reuters.com/article/idUSKBN2CV1AH
Olympics-Barcelona to host artistic swimming qualifier moved from Tokyo,"...April 23 (Reuters) - Barcelona will host an Olympic artistic swimming... qualifier in June after it was unable to be held in Tokyo, world body...",reuters,2021-4-23,https://www.reuters.com/article/idUSL1N2MG0N3
IOC president Bach says Tokyo Olympics to be held as scheduled- Kyodo,"... that the Tokyo Summer Olympic Games will be held as scheduled...TOKYO, Jan 21 (Reuters) - IOC president Thomas Bach said on Thursday...",reuters,2021-1-21,https://www.reuters.com/article/idUSL4N2JW2T1
