news_title,news_content,news_source,news_pubtime,news_url
"Despite coronavirus outbreak in China, Tokyo Olympics still 'on track'",Organizers said Friday that there is no "Plan B" for the 2020 Olympics in Tokyo this summer despite the massive coronavirus outbreak....,Yahoo News,2020/2/15,https://news.yahoo.com/tokyo-olympics-2020-on-track-coronavirus-outbreak-china-020139590.html
Olympics-Tokyo 2020 holds torch relay rehearsal,Japanese actress Satomi Ishihara performed the first 'torch kiss' handover of the Tokyo 2020 Summer Olympics torch relay on Saturday during a rehearsal on the outskirts of the capital. Ishihara's handover in Hamura City formed part of a dress ...,Yahoo News,2020/2/15,https://news.yahoo.com/olympics-tokyo-2020-holds-torch-041103405.html
Despite coronavirus outbreak Tokyo Olympics still 'on track',"Despite coronavirus outbreak in China, Tokyo Olympics still 'on track'....",Yahoo News,2020/2/15,https://news.yahoo.com/despite-coronavirus-outbreak-tokyo-olympics-044535784.html
It's Almost Like The Akira Manga Predicted The Coronavirus Outbreak,Akira certainly did predict the 2020 Tokyo Olympics. The manga and ensuing anime are set against the backdrop of the impending 2020 Tokyo Olympics. It also appears that one panel in the manga refers to measures for combating a contagious disease....,Kotaku,2020/2/17,https://kotaku.com/its-almost-like-the-akira-manga-predicted-the-coronavir-1841739361
"Vinesh, Punia to Lead Indian Challenge in Asian Wrestling C¨Ships",The Asian Wrestling Championship has been classified as a ranking tournament for 2020 Tokyo Olympics....,The Quint,2020/2/17,https://www.thequint.com/sports/wrestling/bajrang-punia-vinesh-phogat-lead-india-challenge-asian-wrestling-championships
Yangzhou beach volleyball tourney postponed over virus fear,"A beach volleyball tournament in Yangzhou, China, originally scheduled for April 22-26 has been postponed due to the coronavirus outbreak. The FIVB said the tournament will be rescheduled after the Tokyo Olympics. Another tournament is scheduled in China ...",Yahoo News,2020/2/17,https://news.yahoo.com/yangzhou-beach-volleyball-tourney-postponed-222630384.html
"Russia, China, and North Korea will pose biggest cyber threats to Tokyo Olympics: report","Russia, China and North Korea will pose the biggest cyber threats to the upcoming 2020 Tokyo Summer Olympics, a report released Wednesday found....",The Hill,2020/2/19,https://thehill.com/policy/cybersecurity/483733-russia-china-and-north-korea-will-pose-biggest-cyber-threats-to-tokyo
Virus limits next Tokyo Olympic test event to Japanese-only,A test event for the Tokyo Olympics scheduled for later this month that would have involved some non-Japanese athletes is being revamped because of fear of the spreading virus from China. It's now limited to only Japanese athletes with the Olympics ju...,Yahoo News,2020/2/20,https://news.yahoo.com/virus-limits-next-tokyo-olympic-064704752.html
Olympics-London can host 2020 Games if moved over coronavirus: mayor candidate,"London would be ready to host the 2020 Olympics if the outbreak of the coronavirus forced the Games to be moved from Tokyo, Shaun Bailey, the Conservative candidate for mayor of the British capital, has said. Tokyo organisers have set up a task force to c...",Yahoo News,2020/2/20,https://news.yahoo.com/olympics-london-host-2020-games-064950891.html
RPT-Some Japan investors worry as coronavirus puts question-mark over Tokyo Olympics,"As Japan struggles to rein in the spread of a coronavirus, some investors are starting to worry the epidemic could scupper the Olympics set to start in Tokyo from July 24, hitting shares of firms ranging from sportsgear makers to event organisers. The epi...",Yahoo News,2020/2/20,https://news.yahoo.com/rpt-japan-investors-worry-coronavirus-230000508.html
London Mayoral Candidate: Move '20 Olympics to UK,London mayoral candidate Shaun Bailey on Thursday said the city would be ready to host the 2020 Olympics if the coronavirus outbreak forces the Games to be moved from Tokyo....,Newsmax,2020/2/21,https://www.newsmax.com/newsfront/london-tokyo-olympics-mayor/2020/02/20/id/955038/
China plays "home" Olympic qualifier in Sydney due to virus,The Asian Football Confederation said Friday that China's scheduled home match against South Korea in the final round of qualifying for the Tokyo Olympics will be held in Sydney due to concern over the China virus. The Chinese women's team has rem...,Yahoo News,2020/2/21,https://news.yahoo.com/china-plays-home-olympic-qualifier-045526576.html
Tokyo 2020 Olympics President says no plan to wear mask - ...,CHINA-HEALTH/TOKYO (PIX):Tokyo 2020 Olympics President says no plan to wear mask - media...,Thomson Reuters Foundation,2020/2/21,https://news.trust.org/item/20200221103537-k9l2h
