news_title,news_content,news_source,news_pubtime,news_url
"About 10,000 volunteers for the Tokyo Olympics have quit, organizers say.",The departures were the latest sign of opposition among the Japanese public to hosting the Games during the pandemic.,New York Times,2021/6/3,https://www.nytimes.com/2021/06/03/world/asia/japan-tokyo-olympics-volunteers-covid.html?searchResultPosition=1
"The Tokyo Olympics, Explained","After a year’s delay, the Tokyo Summer Olympics look set to proceed. But the circumstances will be most unusual. Here's what you need to know.",New York Times,2021/4/6,https://www.nytimes.com/article/olympics-tokyo-explainer.html?searchResultPosition=2
Australia’s softball players are among the first Olympic athletes to arrive in Japan.,"The team will be confined to one floor of a hotel as it prepares for the Tokyo Games, which are scheduled to begin July 23 despite a coronavirus outbreak and growing public opposition.",New York Times,2021/6/1,https://www.nytimes.com/2021/06/01/world/asia/australia-olympics-tokyo-japan-softball.html?searchResultPosition=3
Japan extends a state of emergency until one month before the Olympics.,"With infections still high, restrictions in nine prefectures will remain in place until at least June 20, casting more doubt on the start of the Summer Games in Tokyo.",New York Times,2021/5/28,https://www.nytimes.com/2021/05/28/world/asia/tokyo-olympics-covid-japan.html?searchResultPosition=4
Putting Women on More Equal Footing at the Olympics,"Almost half of the athletes this year will be women, more than in any Games in history. And in some events, women and men will compete together.",New York Times,2021/5/28,https://www.nytimes.com/2021/05/28/sports/olympics/women-athletes-competition.html?searchResultPosition=5
The Olympics Are On! But Why?,The Japanese government is dead-set on holding the Games despite the pandemic.,New York Times,2021/3/25,https://www.nytimes.com/2021/03/25/opinion/olympics-japan-coronavirus.html?searchResultPosition=6
Justin Gatlin Is at Home at Tokyo’s Test Event,"Gatlin was one of nine international athletes invited to participate in a test event in the Olympic Stadium. He came away with a win, and confidence that the Games could go ahead successfully.",New York Times,2021/5/16,https://www.nytimes.com/2021/05/16/sports/tokyo-olympics-justin-gatlin.html?searchResultPosition=7
A Sports Event Shouldn’t Be a Superspreader. Cancel the Olympics.,"The International Olympic Committee cares about its relentless pursuit of profit, not public health. ",New York Times,2021/5/11,https://www.nytimes.com/2021/05/11/opinion/cancel-olympics.html?searchResultPosition=8
"Japan extends emergency measures, further imperiling the Olympics.","The expanded restrictions come 11 weeks before the scheduled start of Tokyo’s Summer Games, as a fourth wave of coronavirus infections continues.",New York Times,2021/5/7,https://www.nytimes.com/2021/05/07/world/asia/japan-covid-emergency-olympics.html?searchResultPosition=9
Japan Extends Coronavirus Emergency Measures,Prime Minister Yoshihide Suga of Japan announced on Friday that it was extending the state of emergency in Tokyo and other cities until the end of May to contain the increase of coronavirus cases.,New York Times,2021/5/7,https://www.nytimes.com/video/world/asia/100000007751919/tokyo-olympics-coronavirus.html?searchResultPosition=10
"How Can the Olympics Protect 78,000 Volunteers From the Coronavirus?","They are being offered little more than a couple of masks, some hand sanitizer and social-distancing guidance that may be hard to abide by.",New York Times,2021/5/2,https://www.nytimes.com/2021/05/02/world/asia/olympics-volunteers-coronavirus.html?searchResultPosition=11
Spectators From Overseas Are Barred From Tokyo Olympics,"The move, announced Saturday, is a significant concession to the realities of the pandemic, even as organizers remain determined to hold the Games this summer.",New York Times,2021/3/20,https://www.nytimes.com/2021/03/20/world/asia/tokyo-olympics-spectators.html?searchResultPosition=12
A top politician in Japan talked of canceling the Olympics. Then he walked it back.,A leading member of Japan’s governing party said the country might have to “completely cancel” the Games if coronavirus infections continue to surge.,New York Times,2021/4/15,https://www.nytimes.com/2021/04/15/world/japan-olympics.html?searchResultPosition=13
"With 100 days till the Olympics, Japan grapples with a new wave of infections.","A subdued ceremony celebrated the approach of the Games in Tokyo, parts of which entered a quasi-state of emergency last week.",New York Times,2021/4/14,https://www.nytimes.com/2021/04/14/world/olympics-japan-covid.html?searchResultPosition=14
Tokyo Olympics Official Resigns After Calling Plus-Size Celebrity ‘Olympig’,The departure came just a month after the president of the Tokyo organizing committee stepped down over a sexist remark.,New York Times,2021/3/18,https://www.nytimes.com/2021/03/18/world/asia/tokyo-olympics-hiroshi-sasaki.html?searchResultPosition=15
Tokyo Summer Olympics Bars International Spectators,"Seiko Hashimoto, president of the Tokyo organizing committee, said on Saturday that fans from overseas would not be allowed to attend the Games because of concerns over the spread of the coronavirus.",New York Times,2021/3/20,https://www.nytimes.com/video/world/asia/100000007665405/tokyo-olympics-overseas-spectators.html?searchResultPosition=16
Tokyo Olympics Chief Apologizes for Remarks Demeaning Women,"Yoshiro Mori suggested women’s speaking time in meetings should be limited “or else we’ll never be able to finish.” He apologized, but said he would not resign.",New York Times,2021/2/3,https://www.nytimes.com/2021/02/03/sports/olympics/tokyo-olympics-yoshiro-mori.html?searchResultPosition=17
Tokyo Olympics Chief Resigns Over Sexist Comments,"Yoshiro Mori, a former Japanese prime minister, had complained that women caused meetings to run long by talking too much. His exit could further complicate the delayed Games.",New York Times,2021/2/11,https://www.nytimes.com/2021/02/11/world/asia/yoshiro-mori-tokyo-olympics-resigns.html?searchResultPosition=18
Tokyo Olympics Playbook: Testing? Yes. Quarantines? No. Fans? Maybe.,"With concern rising in Japan that the Summer Olympics could become a hub for new coronavirus infections, organizers unveiled a preliminary plan aimed at protecting athletes and visitors.",New York Times,2021/2/3,https://www.nytimes.com/2021/02/03/sports/olympics/tokyo-olympics-playbook.html?searchResultPosition=19
Hopes for Tokyo’s Summer Olympics Darken,"Organizers postponed the Olympic Games for one year last March. Nearly a year later, prospects are getting bleaker.",New York Times,2021/1/15,https://www.nytimes.com/2021/01/15/sports/olympics/tokyo-olympics.html?searchResultPosition=20
"How Can the Olympics Protect 78,000 Volunteers From the Coronavirus?","They are being offered little more than a couple of masks, some hand sanitizer and social-distancing guidance that may be hard to abide by.",New York Times,2021/5/2,https://www.nytimes.com/2021/05/02/world/asia/olympics-volunteers-coronavirus.html?searchResultPosition=21
Spectators From Overseas Are Barred From Tokyo Olympics,"The move, announced Saturday, is a significant concession to the realities of the pandemic, even as organizers remain determined to hold the Games this summer.",New York Times,2021/3/20,https://www.nytimes.com/2021/03/20/world/asia/tokyo-olympics-spectators.html?searchResultPosition=22
A top politician in Japan talked of canceling the Olympics. Then he walked it back.,A leading member of Japan’s governing party said the country might have to “completely cancel” the Games if coronavirus infections continue to surge.,New York Times,2021/4/15,https://www.nytimes.com/2021/04/15/world/japan-olympics.html?searchResultPosition=23
"With 100 days till the Olympics, Japan grapples with a new wave of infections.","A subdued ceremony celebrated the approach of the Games in Tokyo, parts of which entered a quasi-state of emergency last week.",New York Times,2021/4/14,https://www.nytimes.com/2021/04/14/world/olympics-japan-covid.html?searchResultPosition=24
Tokyo Olympics Official Resigns After Calling Plus-Size Celebrity ‘Olympig’,The departure came just a month after the president of the Tokyo organizing committee stepped down over a sexist remark.,New York Times,2021/3/18,https://www.nytimes.com/2021/03/18/world/asia/tokyo-olympics-hiroshi-sasaki.html?searchResultPosition=25
Tokyo Summer Olympics Bars International Spectators,"Seiko Hashimoto, president of the Tokyo organizing committee, said on Saturday that fans from overseas would not be allowed to attend the Games because of concerns over the spread of the coronavirus.",New York Times,2021/3/20,https://www.nytimes.com/video/world/asia/100000007665405/tokyo-olympics-overseas-spectators.html?searchResultPosition=26
Tokyo Olympics Chief Apologizes for Remarks Demeaning Women,"Yoshiro Mori suggested women’s speaking time in meetings should be limited “or else we’ll never be able to finish.” He apologized, but said he would not resign.",New York Times,2021/2/3,https://www.nytimes.com/2021/02/03/sports/olympics/tokyo-olympics-yoshiro-mori.html?searchResultPosition=27
Tokyo Olympics Chief Resigns Over Sexist Comments,"Yoshiro Mori, a former Japanese prime minister, had complained that women caused meetings to run long by talking too much. His exit could further complicate the delayed Games.",New York Times,2021/2/11,https://www.nytimes.com/2021/02/11/world/asia/yoshiro-mori-tokyo-olympics-resigns.html?searchResultPosition=28
