news_title,news_content,news_source,news_pubtime,news_sentiment,news_url
强调男女平等原则 石川佳纯成为东京奥运会宣誓候选人,"东京奥运会在即，开幕式宣誓代表人选目前仍未完全确定。东京奥运会基于男女平等的原则，正在探讨由男女运动员各1人宣誓的方案。据悉，目前运动员宣誓候选名单，包括日本女乒领军人物、现年28岁的石川佳纯。石川佳纯将在东京奥运会乒乓球项目中，出战女单和女团两项项。
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021815
朝鲜退出东京奥运会 影响几何?或致朝美关系陷入僵局_中华明法网|www.zhmingfa.com,"梦见自己当律师给自己辩护朝鲜退出东京奥运会 影响几何?或致朝美关系陷入僵局_中华明法网|www.zhmingfa.com 朝鲜此举或将导致已经遇冷的朝韩、朝日及朝美关系持续陷入僵局。新京报讯 据路透社报道，当地时间4月6日，朝鲜体育省在其官网上宣布，考虑到感染新冠病毒的风险，朝鲜将不参加今年夏季的东京奥运会。这是1988年韩国汉城奥运会后，朝鲜时隔33年首次不参加夏季奥运会。朝鲜也是第一个正式宣布不参加2021年东京奥运会的国家。专家分析认为，朝鲜做出这一决定主要还是出于疫情考虑。但朝鲜退出东京奥运会，或将导致已经遇冷的朝韩、朝日及朝美关系持续陷入僵局。朝鲜宣布不参加东京奥运会。/路透社报道
 ... ",科技资讯,2021-04-06,0.0,http://www.wenwan80.com/r21z.htm
日官员称东京奥运举办可能性极大 将探讨观众入场_中华明法网|www.zhmingfa.com,"苏州打官司最有名的律师日官员称东京奥运举办可能性极大 将探讨观众入场_中华明法网|www.zhmingfa.com 中新网5月30日电 据日本共同社报道，28日，日本财务相麻生太郎表示，东京奥运会和残奥会“举办的可能性变得极大”。当天，日本首相菅义伟还表示，将朝着东京奥运会和残奥会让国内观众入场观赛的方向，展开探讨。当地时间4月13日，日本大阪，东京奥运会圣火在大阪府传递。据报道，28日，日本财务相麻生太郎在财务省内召开的海关关长会议上表示，东京奥运会和残奥会“举办的可能性变得极大”。此外，由于运动员代表团等入境人员将增多等，麻生要求加强边境口岸的反恐措施。麻生还要求采取措施，让从海外进口的
 ... ",国内新闻网,2021-04-13,0.0,http://www.sdzbth.com/aza.htm
Shams：哈登承诺将参加东京奥运，携手杜兰特并肩作战,"中国体育6月22日讯，据知名记者Shams报道，篮网球星哈登已经承诺将参加东京奥运会，届时他也将在奥运赛场上，同杜兰特并肩出战。欧文因为脚踝伤势未愈，将不会出战奥运。本赛季篮网的征程已经结束，球队在东部半决赛以2-4的大比分不敌雄鹿出局。 在2019年男篮世界杯上，美国队仅获得第7，创造历史最差战绩，美国男篮也矢志在2020东京奥运会复仇。
 ... ",新传宽频,2021-01-01,0.0,https://static.zhibo.tv/detail/headerline/1021786
哔哩哔哩专栏,"随着疫情的原因导致2020东京奥运会延期举办，同时这也是首届进行延期的奥运会。直到2021年4月1日才最终确认东京奥运会，将在本年7月23日至8月8日期间正式举办。 而在2021年的6月21日，奥运委员会正式决定将东京奥运会观赛人数设定为场馆可容纳人数的50%以内且上限为1万人，因此导致许多热爱奥运的小伙伴都无法前往东京参与其中。所以为了没办法去到现场的小伙伴也可以体验到东京奥运会的乐趣，日本奥运会官方将授权世嘉在STEAM平台上推出《2020东京奥运 官方授权游戏》供热爱奥运的小伙伴来畅玩。 在这款游戏中一共拥有18种乐趣无穷的竞技项目供你选择，其中包括网球、足球、100米赛跑、篮球，拳击
 ... ",哔哩哔哩,2021-04-01,0.0,https://www.bilibili.com/read/cv11836850
奥运办不办，日本都不好办,"原标题：奥运办不办，日本都不好办 来源：瞭望智库（zhczyj） 距离东京奥运会开幕仅剩约1个月。但是，日本国内似乎并未如以往迎接奥运盛会的各国那样洋溢着喜悦的气氛。 当地时间6月8日，日本奥运大臣丸川珠代表示，考虑比赛场地和住宿情况，东京奥运会、残奥会恐难再次延期。但是，这并不能平复日本民众心中的疑虑——截至本月初，已有1/8的奥运会和残奥会志愿者申请退出。 更尴尬的是，一场肩负复兴经济重任的
 ... 4745亿日元，零售等商业则为2779亿日元。此外，申奥成功还将增加约15.2万个就业岗位，其中东京都约占8.4万人。 因此，日本迫切地希望通过举办奥运会，带动经济增长与扩张，甚至重现1964年东京奥运会所创
 ... ",济南都市网[jnd,2021-06-08,1.0,http://www.jndushi.com/list/20269
意外！世乒赛刘诗雯对陈梦打出11-0，如今胜者落选奥运，败者上位,"东京奥运会还有一个月的时间就将开幕，中国乒乓球协会已经公布了参加奥运会的单打、混双，以及团体的名单。刘诗雯的落选，对于她来说非常遗憾，因为她已经不可能再有下一届奥运会可参加了。这个结果在2年前，可能
 ... ，刘诗雯也同样打了陈梦一个11-0。在接受采访的时候，刘诗雯表示我值得这个冠军，只是来得有点晚。 我们都以为刘诗雯能够获得接下来的东京奥运会资格，因为以前的规则都是谁拿到世乒赛的冠军，谁就自动获得来年的奥运会单打资格，除非发生意外情况。不巧的是这个意外，又让刘诗雯给赶上了。一是因为疫情2020年的东京奥运会延迟到了2021年进行，二是刘诗雯的伤病。因为伤病，刘诗雯缺席了很多比赛，好几次都看见刘诗雯
 ... ",东方资讯,2020-10-31,1.0,https://mini.eastday.com/nsa/210621231205466284873.html
哔哩哔哩专栏,"的篮网正好印证了这一说法。 就在球迷认为篮网三巨头会在休赛期好好调整状态，为下赛季做准备时，杜兰特突然宣布将加入美国男篮，出征东京奥运会。球迷又喜又忧，喜的是在休赛期又可以看到杜兰特打球，忧的是害怕密集的比赛会加速杜兰特再伤的风险，当然了，篮网球迷无论如何都会支持杜兰特的决定，只是没想到的是，哈登也要跟随大哥的脚步，参加东京奥运会。据名记Shams报道，哈登已经承诺与队友杜兰特一起在奥运会上出战，欧文由于脚踝伤势的恢复，不太可能在奥运会上复出。 其实哈登出征东京奥运会还挺让球迷意外的，此前在篮网和雄鹿系列赛的G1中，哈登仅出场40多秒就遭遇右腿二级拉伤，球队一直隐瞒其真实伤势，直到欧文被字母哥
 ... ",哔哩哔哩,2020-09-22,0.0,https://www.bilibili.com/read/cv11829884
奥运期间若新冠疫情恶化 或将采取空场方式举行,"【侨报网综合讯】据日本共同社报道，日本经济担当相西村康稔20日表示，若东京奥运会期间新冠疫情扩大导致医疗提供体制恶化，则将毫不犹豫地发布紧急事态宣言。他表态，届时以空场形式举办将纳入考虑范围。 网易
 ... 磋商妥善判断”。 中新网报道，日本政府新冠感染症对策小组会会长尾身茂等专家近日就东京奥运会和残奥会向日本政府与东京奥组委提交建议称，“空场举办让比赛场馆内的感染扩大风险降到最低，是理想的方式。” 专家们
 ... 日本共同社近日实施的日本全国电话舆论调查显示，其中询问举办东京奥运会和残奥会是否带来新冠疫情再次扩大的担忧，包括“一定程度”在内，“感到担忧”的回答占到86.7%。围绕奥运，认为“应空场举办”的受访者
 ... ",新西兰广播电视台,2020-06-22,1.0,https://www.chineseherald.co.nz/news/entertainment/unoccupied-state
日本专家提交奥运风险建言 称无观众形式风险最低,"6月20日电 据日本放送协会(NHK)报道，日前，日本政府新冠病毒感染症对策分科会负责人尾身茂等专家向日本政府等提交了一份建言，对举办东京奥运会和残奥会的疫情蔓延风险进行了评估。 资料图：当地时间6月2日，日本东京，日本东京奥运场馆设施建设和相关准备工作持续进行中。 该建言指出，“希望以‘无观众形式’举办，这种形式的疫情蔓延风险最低”。 建言还向政府及主办方提出建议称，如果允许观众到赛场观看比赛
 ... 公共观赛会场等举办不特定多数人聚集、为奥运助威的活动，并要求民众尽量不要聚集到餐饮店等地观看比赛为奥运助威。 建言认为，东京奥运会和残奥会的规模及受到关注的程度都与普通的体育赛事截然不同，奥运举办期又
 ... ",济南都市网[jnd,2021-06-02,1.0,http://www.jndushi.com/list/375284
